用户名		速度		正确率		使用时间		测试时间
游客1111		248字/分		100.0%		0分 : 30秒		2013-06-16 星期日 09:46:10
游客1111		157字/分		100.0%		2分 : 9秒		2013-06-16 星期日 09:49:08
游客1111		230字/分		98.2%		0分 : 30秒		2013-06-16 星期日 09:51:47
游客1111		169字/分		100.0%		0分 : 12秒		2013-06-16 星期日 09:54:20
游客1111		205字/分		97.0%		0分 : 30秒		2013-06-16 星期日 09:54:54
游客1111		217字/分		98.1%		0分 : 30秒		2013-06-16 星期日 09:56:36
游客1111		232字/分		100.0%		0分 : 30秒		2013-06-16 星期日 09:57:34
游客1111		292字/分		3.5%		0分 : 30秒		2013-06-16 星期日 09:58:18
游客1111		205字/分		97.0%		0分 : 30秒		2013-06-16 星期日 10:43:04
游客1111		250字/分		99.1%		0分 : 30秒		2013-06-16 星期日 10:43:48
游客1111		163字/分		98.7%		0分 : 30秒		2013-06-16 星期日 10:59:38
游客1111		145字/分		100.0%		0分 : 30秒		2013-06-16 星期日 11:00:23
游客1111		466字/分		38.0%		0分 : 30秒		2013-06-16 星期日 11:01:02
游客1111		163字/分		98.7%		0分 : 30秒		2013-06-16 星期日 11:01:41
游客1111		196字/分		100.0%		0分 : 30秒		2013-06-16 星期日 11:34:29
游客1111		0字/分		0.0%		0分 : 30秒		2013-06-16 星期日 12:10:40
游客1111		0字/分		0.0%		0分 : 30秒		2013-06-16 星期日 12:11:45
游客1111		27字/分		28.5%		0分 : 30秒		2013-06-16 星期日 12:13:05
游客1111		8字/分		80.0%		0分 : 30秒		2013-06-16 星期日 12:15:12
游客1111		8字/分		80.0%		0分 : 30秒		2013-06-16 星期日 12:17:03
游客1111		8字/分		80.0%		0分 : 30秒		2013-06-16 星期日 12:19:07
游客1111		0字/分		0.0%		0分 : 30秒		2013-06-16 星期日 12:20:08
游客1111		157字/分		97.4%		0分 : 30秒		2013-06-16 星期日 13:57:49
游客1111		175字/分		99.8%		3分 : 0秒		2013-06-16 星期日 14:47:24
游客1111		142字/分		85.7%		3分 : 28秒		2013-06-16 星期日 15:27:03
游客1111		178字/分		99.3%		1分 : 42秒		2013-06-16 星期日 15:34:31
游客1111		141字/分		99.4%		3分 : 39秒		2013-06-16 星期日 22:33:19
游客1111		31400字/分		0.0%		0分 : 22秒		2013-06-16 星期日 22:35:40
游客1111		31400字/分		0.0%		0分 : 22秒		2013-06-16 星期日 22:35:44
游客1111		172字/分		99.8%		5分 : 0秒		2013-06-16 星期日 22:40:55
游客1111		193字/分		100.0%		2分 : 0秒		2013-06-16 星期日 23:03:43
游客1111		214字/分		99.5%		1分 : 0秒		2013-06-16 星期日 23:04:57
游客6197		177字/分		100.0%		5分 : 0秒		2013-06-17 星期一 00:38:40
游客6197		174字/分		100.0%		1分 : 13秒		2013-06-17 星期一 00:40:15
张勇		188字/分		100.0%		1分 : 0秒		2013-06-17 星期一 00:41:41
张勇		196字/分		100.0%		1分 : 0秒		2013-06-17 星期一 13:46:53
张勇		192字/分		100.0%		1分 : 0秒		2013-06-17 星期一 13:49:53
张勇		854字/分		15.5%		1分 : 0秒		2013-06-17 星期一 14:32:05
张勇		60字/分		100.0%		0分 : 9秒		2013-06-17 星期一 14:33:05
游客8462		165字/分		100.0%		0分 : 13秒		2013-06-17 星期一 15:14:55
游客8462		165字/分		100.0%		0分 : 13秒		2013-06-17 星期一 15:14:58
游客3373		191字/分		97.2%		0分 : 12秒		2013-06-17 星期一 15:16:39
游客3373		191字/分		97.2%		0分 : 11秒		2013-06-17 星期一 15:16:41
游客3373		175字/分		100.0%		0分 : 13秒		2013-06-17 星期一 15:17:17
游客3373		175字/分		100.0%		0分 : 13秒		2013-06-17 星期一 15:17:21
游客1180		144字/分		100.0%		0分 : 16秒		2013-06-17 星期一 15:19:53
游客7812		43字/分		86.4%		1分 : 53秒		2013-06-17 星期一 15:51:53
游客5969		1061字/分		13.0%		1分 : 32秒		2013-06-17 星期一 20:35:05
游客5969		3595字/分		0.0%		0分 : 8秒		2013-06-17 星期一 20:35:17
游客9735		1380字/分		3.3%		1分 : 11秒		2013-06-17 星期一 20:47:51
游客4646		4389字/分		0.8%		0分 : 23秒		2013-06-17 星期一 20:55:44
游客4354		19010字/分		0.0%		0分 : 33秒		2013-06-17 星期一 22:42:15
游客8679		194字/分		99.8%		10分 : 0秒		2013-06-17 星期一 22:54:20
游客6185		51字/分		94.7%		0分 : 22秒		2013-06-18 星期二 16:21:03
游客8496		191字/分		100.0%		0分 : 44秒		2013-06-19 星期三 16:24:57
游客2483		237字/分		85.7%		2分 : 5秒		2013-06-23 星期日 14:13:46
游客6649		0字/分		0.0%		0分 : 8秒		2013-06-24 星期一 11:08:01
游客6649		22字/分		31.7%		1分 : 48秒		2013-06-24 星期一 11:23:13
游客1509		185字/分		51.4%		1分 : 30秒		2013-06-26 星期三 12:37:46
游客1509		24字/分		94.4%		1分 : 27秒		2013-06-26 星期三 12:40:20
游客3786		203字/分		100.0%		1分 : 0秒		2013-09-20 星期五 16:53:39
